Category ID,Category Name,Subcategory ID,Subcategory Name
00,INSPECTION AND SERVICE,,
00,INSPECTION AND SERVICE,0001,Scheduled Service
00,INSPECTION AND SERVICE,0002,Firmware Service
00,INSPECTION AND SERVICE,0005,Service Modes
00,INSPECTION AND SERVICE,0006,Periodic Roadworthiness Inspections
10,BODY,,
10,BODY,1000,Vehicle Lifting
10,BODY,1001,Bumper/Fascia
10,BODY,1010,Body Panels
10,BODY,1020,Windshield and Body Glass
10,BODY,1030,Paint
10,BODY,1040,Spine
11,CLOSURE COMPONENTS,,
11,CLOSURE COMPONENTS,1120,Tonneau
11,CLOSURE COMPONENTS,1133,Closure Assist Mechanisms and Hinges
11,CLOSURE COMPONENTS,1135,Latches Strikers and Pinch Sensors
11,CLOSURE COMPONENTS,1140,Interior Door Handles
11,CLOSURE COMPONENTS,1145,Exterior Door Handles
11,CLOSURE COMPONENTS,1150,Door Glass and Regulators
11,CLOSURE COMPONENTS,1170,Seals Body Enclosures
12,EXTERIOR FITTINGS,,
12,EXTERIOR FITTINGS,1201,Wheel Arch Liners
12,EXTERIOR FITTINGS,1203,Undertray and Diffuser
12,EXTERIOR FITTINGS,1205,Badges and Films
12,EXTERIOR FITTINGS,1207,License Plate Mountings
12,EXTERIOR FITTINGS,1209,Exterior Mirrors
12,EXTERIOR FITTINGS,1215,Truck Bed
12,EXTERIOR FITTINGS,1220,Exterior Trim
12,EXTERIOR FITTINGS,1222,Spoiler
12,EXTERIOR FITTINGS,1224,Luggage Compartment Trim
12,EXTERIOR FITTINGS,1225,Underhood Trim
12,EXTERIOR FITTINGS,1227,Liftgate Trough Trim
12,EXTERIOR FITTINGS,1230,Trailer Hitch
12,EXTERIOR FITTINGS,1240,Roof Rack
12,EXTERIOR FITTINGS,1245,Door Triggers
12,EXTERIOR FITTINGS,1250,Terrestrial Armor Package
13,SEATS,,
13,SEATS,1301,Front Seat Tracks
13,SEATS,1302,2nd Row Seat Tracks and Motors
13,SEATS,1303,3rd Row Seat Tracks and Motors
13,SEATS,1304,Front Seat Assemblies and Hardware
13,SEATS,1305,2nd Row Seat Assemblies and Hardware
13,SEATS,1306,3rd Row Seat Assemblies and Hardware
13,SEATS,1307,"Front Seat Covers, Pads, and Trims"
13,SEATS,1308,2nd Row Seat Covers Pads and Trims
13,SEATS,1309,3rd Row Seat Covers Pads and Trims
14,INSTRUMENT PANELS AND PEDALS,,
14,INSTRUMENT PANELS AND PEDALS,1405,Instrument Panel
15,INTERIOR TRIM,,
15,INTERIOR TRIM,1505,Interior Mirror and Sun Visors
15,INTERIOR TRIM,1511,Liftgate Trim
15,INTERIOR TRIM,1513,Door Trim
15,INTERIOR TRIM,1518,Pillar and Sill Trim
15,INTERIOR TRIM,1519,Center Console
15,INTERIOR TRIM,1520,Headliner
15,INTERIOR TRIM,1524,Luggage Compartment Trim
15,INTERIOR TRIM,1530,Carpeting and Mats
15,INTERIOR TRIM,1535,Center Console - 2nd Row
16,HV BATTERY SYSTEM,,
16,HV BATTERY SYSTEM,1601,HV Battery Assembly
16,HV BATTERY SYSTEM,1610,HV Battery Enclosure
16,HV BATTERY SYSTEM,1620,HV Battery Cooling System
16,HV BATTERY SYSTEM,1630,HV Battery Electrical Components
17,ELECTRICAL,,
17,ELECTRICAL,1701,12V Battery and Fuses
17,ELECTRICAL,1702,MV Battery
17,ELECTRICAL,1710,Harnesses
17,ELECTRICAL,1715,Electronic Control Modules
17,ELECTRICAL,1720,Radar Sensor
17,ELECTRICAL,1722,Cameras
17,ELECTRICAL,1723,Front Cameras
17,ELECTRICAL,1724,Interior Camera
17,ELECTRICAL,1725,Rear Cameras
17,ELECTRICAL,1726,B-Pillar Cameras
17,ELECTRICAL,1727,Parking Sensors
17,ELECTRICAL,1730,Interior Switches
17,ELECTRICAL,1735,Interior Lighting
17,ELECTRICAL,1740,Exterior Lights
17,ELECTRICAL,1745,Keyless Entry and Security
17,ELECTRICAL,1750,Wipers and Washers
17,ELECTRICAL,1753,Horn
17,ELECTRICAL,1754,Pedestrian Warning Speaker
17,ELECTRICAL,1755,Accelerator Pedal
17,ELECTRICAL,1756,Temperature and Humidity Sensors
17,ELECTRICAL,1757,Pyrotechnic Battery Disconnect
18,THERMAL MANAGEMENT,,
18,THERMAL MANAGEMENT,1810,Cabin HVAC
18,THERMAL MANAGEMENT,1820,Refrigerant System
